StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,EventName,QID16,QID20,QID19,Location
2024 06 25 13:30:00 05:00,2024 06 25 14:30:00 05:00,,,100,,True,2024 12 11 15:50:33+00:00,B6B62F6C D7AE 4A53 A83D 09D742655566,,,,,,,,,,Build environment and interactive game,,,WARNING: This message has originated from an External Source. This may be a phishing expedition that can result in unauthorized access to our IT System. Please use proper judgment and caution when opening attachments  clicking links  or responding to this email. Dear Mr. Sailor   Here is the class information of today’s session of 2024 HK High School Summer Program  Time: Tuesday  June 25  2024 1:30pm   2:30pm Location: P204  Topic: Build environment and interactive game    *   Students will keep works on the environment   *   Learn how to design an interactive game   *   Students will also work on their business ideas of building their product prototype  Best  Tian  ,P204
2024 06 26 14:00:00 05:00,2024 06 26 15:30:00 05:00,,,100,,True,2024 12 11 15:50:33+00:00,33EAB031 857F 45BD AD2B 548009FCB9CE,,,,,,,,,,VR project hands on ,,,WARNING: This message has originated from an External Source. This may be a phishing expedition that can result in unauthorized access to our IT System. Please use proper judgment and caution when opening attachments  clicking links  or responding to this email. Dear Mr. Sailor   Here is the class information of today’s session of 2024 HK High School Summer Program  Time: Wednesday  June 26  2024 2:00pm   3:30pm Location: P204  Topic: VR project hands on    *   Students keep works on building environment    *   Works on design interactive game   *   Building their product prototype  Best  Tian  ,P204
2024 06 27 10:00:00 05:00,2024 06 27 11:00:00 05:00,,,100,,True,2024 12 11 15:50:33+00:00,199BE8E6 6FC2 40D6 9D85 374116C5314E,,,,,,,,,,VR project hands on ,,,WARNING: This message has originated from an External Source. This may be a phishing expedition that can result in unauthorized access to our IT System. Please use proper judgment and caution when opening attachments  clicking links  or responding to this email. Dear Mr. Sailor   Here is the class information of today’s session of 2024 HK High School Summer Program  Time: Thursday  June 27  2024 10:00am   11:00am Location: P204  Topic: VR project hands on    *   Students keep works on building environment   *   Works on design interactive game   *   Building their product prototype  Best  Tian   ,P204
2024 06 28 18:00:00 05:00,2024 06 28 19:30:00 05:00,,,100,,True,2024 12 11 15:50:33+00:00,1E01E6D5 E02B 486B 9CBD C10B13CDC590,,,,,,,,,,2024 HK STEMSP graduation dinner,,,Hi Sailor and Ailing   I would like to invite you to join our graduation dinner together on Friday June 28 6:00pm 7:30pm  Best  Tian  ,Jack Stack Barbecue at plaza
2024 07 17 16:00:00+02:00,2024 07 17 16:30:00+02:00,,,100,,True,2024 12 11 15:50:33+00:00,040000008200E00074C5B7101A82E008000000007D8B8B4A13D8DA0100000000000000001000000087FE9EEB42FC10499AD09885213E6974,,,,,,,,,,Sailor videocall ,,,   ________________________________________________________________________________ Microsoft Teams Need help?<https://nam02.safelinks.protection.outlook.com/?url=https:%2F%2Faka.ms%2FJoinTeamsMeeting%3Fomkt%3Den US&data=05%7C02%7Cjsusher%40umkc.edu%7Caadb3134e5eb45a4b05b08dca62a7291%7Ce3fefdbef7e9401ba51a355e01b05a89%7C0%7C0%7C638567949491058517%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C60000%7C%7C%7C&sdata=ock8wiN7CUhverPMAoAmvnUhjNUOHlDDZTsyV0kVIRI%3D&reserved=0> Join the meeting now<https://nam02.safelinks.protection.outlook.com/ap/t 59584e83/?url=https:%2F%2Fteams.microsoft.com%2Fl%2Fmeetup join%2F19%253ameeting_ZTQyMzQ5ZTktOWMxNC00NDVlLTlmNDktOTQyMWRmNWNiNTJl%2540thread.v2%2F0%3Fcontext%3D%257b%2522Tid%2522%253a%252292fb83fa acc4 4429 aa8d 1df67c7ac7c7%2522%252c%2522Oid%2522%253a%2522d0699cfe f2aa 4644 b8bd 9f21cbb3a101%2522%257d&data=05%7C02%7Cjsusher%40umkc.edu%7Caadb3134e5eb45a4b05b08dca62a7291%7Ce3fefdbef7e9401ba51a355e01b05a89%7C0%7C0%7C638567949491069435%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C60000%7C%7C%7C&sdata=uBAhesetS4tVzJOYqUJAC4JCBPgsVhHFko30aAn1Kxg%3D&reserved=0> Meeting ID: 340 914 026 981 Passcode: Wtch6r ________________________________ For organizers: Meeting options<https://nam02.safelinks.protection.outlook.com/?url=https:%2F%2Fteams.microsoft.com%2FmeetingOptions%2F%3ForganizerId%3Dd0699cfe f2aa 4644 b8bd 9f21cbb3a101%26tenantId%3D92fb83fa acc4 4429 aa8d 1df67c7ac7c7%26threadId%3D19_meeting_ZTQyMzQ5ZTktOWMxNC00NDVlLTlmNDktOTQyMWRmNWNiNTJl%40thread.v2%26messageId%3D0%26language%3Den US&data=05%7C02%7Cjsusher%40umkc.edu%7Caadb3134e5eb45a4b05b08dca62a7291%7Ce3fefdbef7e9401ba51a355e01b05a89%7C0%7C0%7C638567949491077831%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C60000%7C%7C%7C&sdata=%2F6t0Lm%2BM8BR2fZRksza8BJRfk0RynJfB%2Fku48VmQjsQ%3D&reserved=0> ________________________________________________________________________________ Yaw VR Virtual Reality Motion Simulator yawvr.com<https://nam02.safelinks.protection.outlook.com/?url=http:%2F%2Fyawvr.com%2F&data=05%7C02%7Cjsusher%40umkc.edu%7Caadb3134e5eb45a4b05b08dca62a7291%7Ce3fefdbef7e9401ba51a355e01b05a89%7C0%7C0%7C638567949491085576%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C60000%7C%7C%7C&sdata=vrFlGpqbRUOJgjxq2tnTyCG2VdLf4LoiY9syMq6SpT4%3D&reserved=0>  ,Microsoft Teams Meeting
2024 07 17 09:00:00 05:00,2024 07 17 10:00:00 05:00,,,100,,True,2024 12 11 15:50:33+00:00,040000008200E00074C5B7101A82E0080000000076C349C98ED7DA010000000000000000100000004B9D7FCAE4E8F14C8C168BE2AC35A2A8,,,,,,,,,,YawII Technician Video Call,,, ,
2024 07 23 13:00:00 05:00,2024 07 23 14:00:00 05:00,,,100,,True,2024 12 11 15:50:33+00:00,040000008200E00074C5B7101A82E0080000000050557AAE96D7DA0100000000000000001000000054EAEB930B9F874B8BE86084225ABAD2,,,,,,,,,,UMKC Communication and Journalism/VR showroom,,, ,Plaster VR showroom (2nd floor)
2024 07 24 10:00:00 05:00,2024 07 24 11:30:00 05:00,,,100,,True,2024 12 11 15:50:33+00:00,040000008200E00074C5B7101A82E0080000000030B80410D6D2DA01000000000000000010000000EBDF7F91FF819047A8CA9686A3E63C57,,,,,,,,,,JCCC tour of VR/3d printing/fabrication space at UMKC,,,Park in the blue 32S Rockhill Garage and proceed directly north to Flarsheim Hall. We will meet on the 5th floor in room 534 (Dean’s office area). Campus map: https://www.umkc.edu/about/documents/umkc volker campus map 0823.pdf  You will receive a parking pass to print and put on your dash in a separate email. If you do not receive it  check your spam folder. It frequently lands there. If you still do not receive it  go ahead and park in the garage and if there is a ticket we will take care of it.  ,UMKC Innovation Studio
2024 07 24 14:00:00 05:00,2024 07 24 15:30:00 05:00,,,100,,True,2024 12 11 15:50:33+00:00,040000008200E00074C5B7101A82E00800000000F9B8F10B94DEDA01000000000000000010000000F5C42251133D4640A9AC266253D2BD85,,,,,,,,,,Meeting with Horace from The Phoenix Collective,,, ,UMKC Plaster P201
2024 07 25 15:00:00+02:00,2024 07 25 15:30:00+02:00,,,100,,True,2024 12 11 15:50:33+00:00,040000008200E00074C5B7101A82E008000000005C16F6B13ADCDA0100000000000000001000000017D092624E708A4DABE3620138ACCBE4,,,,,,,,,,Sailor meeting,,,   ________________________________________________________________________________ Microsoft Teams Need help?<https://nam02.safelinks.protection.outlook.com/?url=https:%2F%2Faka.ms%2FJoinTeamsMeeting%3Fomkt%3Den US&data=05%7C02%7Cjsusher%40umkc.edu%7Cdda22c3f639847cfe2ba08dcaa51dca5%7Ce3fefdbef7e9401ba51a355e01b05a89%7C0%7C0%7C638572515778596746%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=IYThkfgvdHKNEHv1ty%2FwwPXnLweTO6apIgg7TLJpDvY%3D&reserved=0> Join the meeting now<https://nam02.safelinks.protection.outlook.com/ap/t 59584e83/?url=https:%2F%2Fteams.microsoft.com%2Fl%2Fmeetup join%2F19%253ameeting_MDlhZjEyZGUtNzQwNS00ZThkLWI0YmYtMjQyN2ZmNDlkMmU3%2540thread.v2%2F0%3Fcontext%3D%257b%2522Tid%2522%253a%252292fb83fa acc4 4429 aa8d 1df67c7ac7c7%2522%252c%2522Oid%2522%253a%2522d0699cfe f2aa 4644 b8bd 9f21cbb3a101%2522%257d&data=05%7C02%7Cjsusher%40umkc.edu%7Cdda22c3f639847cfe2ba08dcaa51dca5%7Ce3fefdbef7e9401ba51a355e01b05a89%7C0%7C0%7C638572515778608004%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=VRt6WWz2Lu3MD7AZUGLqEi6EQpYBW%2BhokFw0tLPT6pk%3D&reserved=0> Meeting ID: 319 956 261 349 Passcode: pUrAJp ________________________________ For organizers: Meeting options<https://nam02.safelinks.protection.outlook.com/?url=https:%2F%2Fteams.microsoft.com%2FmeetingOptions%2F%3ForganizerId%3Dd0699cfe f2aa 4644 b8bd 9f21cbb3a101%26tenantId%3D92fb83fa acc4 4429 aa8d 1df67c7ac7c7%26threadId%3D19_meeting_MDlhZjEyZGUtNzQwNS00ZThkLWI0YmYtMjQyN2ZmNDlkMmU3%40thread.v2%26messageId%3D0%26language%3Den US&data=05%7C02%7Cjsusher%40umkc.edu%7Cdda22c3f639847cfe2ba08dcaa51dca5%7Ce3fefdbef7e9401ba51a355e01b05a89%7C0%7C0%7C638572515778616735%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=wYOgxfB3yHMIC%2B9lg2Fq%2F%2BAZg6uwadm0XzWvs1z2XV4%3D&reserved=0> ________________________________________________________________________________ Yaw VR Virtual Reality Motion Simulator yawvr.com<https://nam02.safelinks.protection.outlook.com/?url=http:%2F%2Fyawvr.com%2F&data=05%7C02%7Cjsusher%40umkc.edu%7Cdda22c3f639847cfe2ba08dcaa51dca5%7Ce3fefdbef7e9401ba51a355e01b05a89%7C0%7C0%7C638572515778624583%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=E13PFdYIltmfjUHPoY0xReOqPss4skcs06LRy1wIOfw%3D&reserved=0>  ,Microsoft Teams Meeting
2024 07 26 15:00:00 05:00,2024 07 26 16:00:00 05:00,,,100,,True,2024 12 11 15:50:33+00:00,040000008200E00074C5B7101A82E0080000000002EB89B8A1DFDA01000000000000000010000000184BCE169F317E4C885DB2501B98984F,,,,,,,,,,Architecture students toured the AVR Showroom,,, ,
2024 07 29 15:00:00+02:00,2024 07 29 15:30:00+02:00,,,100,,True,2024 12 11 15:50:33+00:00,040000008200E00074C5B7101A82E00800000000F98B66C68AE1DA010000000000000000100000006349C36ACB0F5749B19A18CEC40E5B52,,,,,,,,,,Sailor videocall with Yaw,,,   ________________________________________________________________________________ Microsoft Teams Need help?<https://nam02.safelinks.protection.outlook.com/?url=https:%2F%2Faka.ms%2FJoinTeamsMeeting%3Fomkt%3Den US&data=05%7C02%7Cjsusher%40umkc.edu%7Cfd3cb3f628f74ef2d4a408dcafa1ecdd%7Ce3fefdbef7e9401ba51a355e01b05a89%7C0%7C0%7C638578357207898481%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=GjfzZauXGvm6N8tnM3wrWS0a%2FI3raJjYhfyxcPy6wrM%3D&reserved=0> Join the meeting now<https://nam02.safelinks.protection.outlook.com/ap/t 59584e83/?url=https:%2F%2Fteams.microsoft.com%2Fl%2Fmeetup join%2F19%253ameeting_OTllN2NiMDUtMjM4Ni00ZDZkLWE5NjEtNzFlYTkzM2U1YWFl%2540thread.v2%2F0%3Fcontext%3D%257b%2522Tid%2522%253a%252292fb83fa acc4 4429 aa8d 1df67c7ac7c7%2522%252c%2522Oid%2522%253a%2522d0699cfe f2aa 4644 b8bd 9f21cbb3a101%2522%257d&data=05%7C02%7Cjsusher%40umkc.edu%7Cfd3cb3f628f74ef2d4a408dcafa1ecdd%7Ce3fefdbef7e9401ba51a355e01b05a89%7C0%7C0%7C638578357207911250%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=FTR4EH4naYy6BQoYjAbsx7nff03TRgJt9I7Sd9hKJlk%3D&reserved=0> Meeting ID: 333 369 198 118 Passcode: 9SGGh3 ________________________________ For organizers: Meeting options<https://nam02.safelinks.protection.outlook.com/?url=https:%2F%2Fteams.microsoft.com%2FmeetingOptions%2F%3ForganizerId%3Dd0699cfe f2aa 4644 b8bd 9f21cbb3a101%26tenantId%3D92fb83fa acc4 4429 aa8d 1df67c7ac7c7%26threadId%3D19_meeting_OTllN2NiMDUtMjM4Ni00ZDZkLWE5NjEtNzFlYTkzM2U1YWFl%40thread.v2%26messageId%3D0%26language%3Den US&data=05%7C02%7Cjsusher%40umkc.edu%7Cfd3cb3f628f74ef2d4a408dcafa1ecdd%7Ce3fefdbef7e9401ba51a355e01b05a89%7C0%7C0%7C638578357207919297%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=xo658tFFg%2BzGEp4O9zi2M2ZpPhgEqnIdefj2FLYEj%2Fs%3D&reserved=0> ________________________________________________________________________________ Yaw VR Virtual Reality Motion Simulator yawvr.com<https://nam02.safelinks.protection.outlook.com/?url=http:%2F%2Fyawvr.com%2F&data=05%7C02%7Cjsusher%40umkc.edu%7Cfd3cb3f628f74ef2d4a408dcafa1ecdd%7Ce3fefdbef7e9401ba51a355e01b05a89%7C0%7C0%7C638578357207926984%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=1N8V207ho8D8NcpgC7mJTIVJZr5p7ihm2NwaonEK%2FFE%3D&reserved=0>  ,Microsoft Teams Meeting
2024 08 01 15:00:00 05:00,2024 08 01 16:30:00 05:00,,,100,,True,2024 12 11 15:50:33+00:00,040000008200E00074C5B7101A82E0080000000010AA7E67BEDDDA010000000000000000100000000D4FCA7833BB9245A9EECFB2E3356599,,,,,,,,,,SSE Plaster Tour and Training,,,The SSE recruiting staff would like to offer training and information about the Plaster Center if you are interested in learning more. While this tour doesn’t mean you will be asked to give tours of the space  it is often helpful to have some knowledge of what is available and what is told to prospective students. Those who attend will receive a script that we use with undergraduate prospective students and families. ,Meet in 336 Flarsheim
